DriverID,FullName,LastName,SeasonID,SprintIndex,Number,Color,Team,DriverIDT,CountryCode,CountryCodeRus,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,Label,RacesParticipated,Teammate,TeammateAbb
28,Oscar Piastri,Piastri,2023,0,81,#F58020,McLaren,28_McLaren,AUS,Австралия,6.17,6.65,3.33,3.33,5.00,6.666666666666666,3.333333333333333,6.67,4.32,4.59,4.75,6.287506377831234,4.513845199033304,7.871817700735147,7.08,4.88,6.03,2023,6.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2023,1,81,#F58020,McLaren,28_McLaren,AUS,Австралия,6.01,5.90,3.18,3.89,2.22,4.444444444444445,2.2222222222222223,4.09,4.63,4.50,4.38,5.152745574956317,4.608070310015266,4.9166014034568475,5.67,6.77,6.08,2023,22.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2023,2,81,#F58020,McLaren,28_McLaren,AUS,Австралия,6.04,6.08,3.21,3.75,2.92,5.0,2.5,4.64,4.56,4.52,4.47,5.436435775675047,4.584514032269775,5.4305520638530735,6.01,6.35,6.07,2023,28.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2024,0,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,7.48,6.93,3.33,6.00,6.00,6.0,4.0,5.00,4.46,5.75,4.77,5.837122002085506,5.490310337106317,6.954294816630826,7.69,6.17,7.17,2024,6.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2024,1,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,7.50,7.07,1.67,5.00,2.50,4.166666666666667,5.833333333333334,3.75,4.72,4.79,4.69,5.146469768767087,5.327300858437018,4.924062996672424,8.23,5.23,7.05,2024,24.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2024,2,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,7.50,7.04,2.00,5.17,3.10,4.482758620689655,5.517241379310345,4.00,4.67,4.96,4.71,5.265547740028884,5.355405940966207,5.286604393093567,8.12,5.42,7.07,2024,30.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2025,0,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,8.61,5.50,6.67,7.50,5.00,10.0,7.5,1.67,5.11,5.30,5.21,5.865384615384616,4.787735849056603,4.846082794137827,9.70,5.33,7.51,2025,6.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2025,1,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,7.70,6.51,4.58,4.09,5.45,5.0,5.0,3.91,4.99,4.85,4.99,5.274872585808242,5.000686121847058,5.172241292205152,9.46,5.94,7.21,2025,24.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,2025,2,81,#FF8000,McLaren,28_McLaren,AUS,Австралия,7.84,6.36,5.00,4.62,5.38,5.769230769230768,5.384615384615384,3.45,5.02,4.92,5.02,5.365720590358453,4.967924541417757,5.143879683677559,9.50,5.83,7.25,2025,30.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,Все сезоны,0,81,#FF8000,Все сезоны,28_McLaren,AUS,Австралия,7.42,6.36,4.44,5.61,5.33,7.5555555555555545,4.944444444444444,4.44,4.63,5.22,4.91,5.996670998433785,4.930630461732075,6.557398437167933,8.16,5.46,6.90,Все сезоны,30.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,Все сезоны,1,81,#FF8000,Все сезоны,28_McLaren,AUS,Австралия,7.07,6.49,3.14,4.33,3.39,4.537037037037037,4.351851851851852,3.92,4.78,4.72,4.69,5.191362643177215,4.978685763433114,5.004301897444808,7.79,5.98,6.78,Все сезоны,30.0,Lando Norris,NOR
28,Oscar Piastri,Piastri,Все сезоны,2,81,#FF8000,Все сезоны,28_McLaren,AUS,Австралия,7.13,6.49,3.40,4.51,3.80,5.083996463306808,4.467285587975243,4.03,4.75,4.80,4.73,5.355901368687462,4.96928150488458,5.287012046874733,7.88,5.87,6.80,Все сезоны,30.0,Lando Norris,NOR
