SprintIndex,SeasonID,RaceID,EventIndex,EventAbbreviation,LapNumberFlow,LapNumber,EventAbbMiddleMarker,EventTicksMarker,isSprint
1,2024,2024011,0,BAH,1,1.0,0,1,0
1,2024,2024011,0,BAH,2,2.0,0,0,0
1,2024,2024011,0,BAH,3,3.0,0,0,0
1,2024,2024011,0,BAH,4,4.0,0,0,0
1,2024,2024011,0,BAH,5,5.0,0,0,0
1,2024,2024011,0,BAH,6,6.0,0,0,0
1,2024,2024011,0,BAH,7,7.0,0,0,0
1,2024,2024011,0,BAH,8,8.0,0,0,0
1,2024,2024011,0,BAH,9,9.0,0,0,0
1,2024,2024011,0,BAH,10,10.0,0,0,0
1,2024,2024011,0,BAH,11,11.0,0,0,0
1,2024,2024011,0,BAH,12,12.0,0,0,0
1,2024,2024011,0,BAH,13,13.0,0,0,0
1,2024,2024011,0,BAH,14,14.0,0,0,0
1,2024,2024011,0,BAH,15,15.0,0,0,0
1,2024,2024011,0,BAH,16,16.0,0,0,0
1,2024,2024011,0,BAH,17,17.0,0,0,0
1,2024,2024011,0,BAH,18,18.0,0,0,0
1,2024,2024011,0,BAH,19,19.0,0,0,0
1,2024,2024011,0,BAH,20,20.0,0,0,0
1,2024,2024011,0,BAH,21,21.0,0,0,0
1,2024,2024011,0,BAH,22,22.0,0,0,0
1,2024,2024011,0,BAH,23,23.0,0,0,0
1,2024,2024011,0,BAH,24,24.0,0,0,0
1,2024,2024011,0,BAH,25,25.0,0,0,0
1,2024,2024011,0,BAH,26,26.0,0,0,0
1,2024,2024011,0,BAH,27,27.0,0,0,0
1,2024,2024011,0,BAH,28,28.0,0,0,0
1,2024,2024011,0,BAH,29,29.0,1,0,0
1,2024,2024011,0,BAH,30,30.0,0,0,0
1,2024,2024011,0,BAH,31,31.0,0,0,0
1,2024,2024011,0,BAH,32,32.0,0,0,0
1,2024,2024011,0,BAH,33,33.0,0,0,0
1,2024,2024011,0,BAH,34,34.0,0,0,0
1,2024,2024011,0,BAH,35,35.0,0,0,0
1,2024,2024011,0,BAH,36,36.0,0,0,0
1,2024,2024011,0,BAH,37,37.0,0,0,0
1,2024,2024011,0,BAH,38,38.0,0,0,0
1,2024,2024011,0,BAH,39,39.0,0,0,0
1,2024,2024011,0,BAH,40,40.0,0,0,0
1,2024,2024011,0,BAH,41,41.0,0,0,0
1,2024,2024011,0,BAH,42,42.0,0,0,0
1,2024,2024011,0,BAH,43,43.0,0,0,0
1,2024,2024011,0,BAH,44,44.0,0,0,0
1,2024,2024011,0,BAH,45,45.0,0,0,0
1,2024,2024011,0,BAH,46,46.0,0,0,0
1,2024,2024011,0,BAH,47,47.0,0,0,0
1,2024,2024011,0,BAH,48,48.0,0,0,0
1,2024,2024011,0,BAH,49,49.0,0,0,0
1,2024,2024011,0,BAH,50,50.0,0,0,0
1,2024,2024011,0,BAH,51,51.0,0,0,0
1,2024,2024011,0,BAH,52,52.0,0,0,0
1,2024,2024011,0,BAH,53,53.0,0,0,0
1,2024,2024011,0,BAH,54,54.0,0,0,0
1,2024,2024011,0,BAH,55,55.0,0,0,0
1,2024,2024011,0,BAH,56,56.0,0,0,0
1,2024,2024011,0,BAH,57,57.0,0,0,0
1,2024,2024021,1,SAU,58,1.0,0,1,0
1,2024,2024021,1,SAU,59,2.0,0,0,0
1,2024,2024021,1,SAU,60,3.0,0,0,0
1,2024,2024021,1,SAU,61,4.0,0,0,0
1,2024,2024021,1,SAU,62,5.0,0,0,0
1,2024,2024021,1,SAU,63,6.0,0,0,0
1,2024,2024021,1,SAU,64,7.0,0,0,0
1,2024,2024021,1,SAU,65,8.0,0,0,0
1,2024,2024021,1,SAU,66,9.0,0,0,0
1,2024,2024021,1,SAU,67,10.0,0,0,0
1,2024,2024021,1,SAU,68,11.0,0,0,0
1,2024,2024021,1,SAU,69,12.0,0,0,0
1,2024,2024021,1,SAU,70,13.0,0,0,0
1,2024,2024021,1,SAU,71,14.0,0,0,0
1,2024,2024021,1,SAU,72,15.0,0,0,0
1,2024,2024021,1,SAU,73,16.0,0,0,0
1,2024,2024021,1,SAU,74,17.0,0,0,0
1,2024,2024021,1,SAU,75,18.0,0,0,0
1,2024,2024021,1,SAU,76,19.0,0,0,0
1,2024,2024021,1,SAU,77,20.0,0,0,0
1,2024,2024021,1,SAU,78,21.0,0,0,0
1,2024,2024021,1,SAU,79,22.0,0,0,0
1,2024,2024021,1,SAU,80,23.0,0,0,0
1,2024,2024021,1,SAU,81,24.0,0,0,0
1,2024,2024021,1,SAU,82,25.0,1,0,0
1,2024,2024021,1,SAU,83,26.0,0,0,0
1,2024,2024021,1,SAU,84,27.0,0,0,0
1,2024,2024021,1,SAU,85,28.0,0,0,0
1,2024,2024021,1,SAU,86,29.0,0,0,0
