DriverID,FullName,LastName,SeasonID,SprintIndex,Number,Color,Team,DriverIDT,CountryCode,CountryCodeRus,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,Label,RacesParticipated,Teammate,TeammateAbb
32,Jack Doohan,Doohan,2024,1,61,#0093CC,Alpine,32_Alpine,AUS,Австралия,1.60,1.00,0.00,0.00,0.00,0.0,0.0,0.00,1.16,2.10,2.08,4.764285714285714,2.8571428571428568,3.5686777920410777,1.00,6.67,2.35,2024,1.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,2024,2,61,#0093CC,Alpine,32_Alpine,AUS,Австралия,1.60,1.00,0.00,0.00,0.00,0.0,0.0,0.00,1.16,2.10,2.08,4.764285714285714,2.8571428571428568,3.5686777920410777,1.00,6.67,2.35,2024,1.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,2025,0,7,#0093CC,Alpine,32_Alpine,AUS,Австралия,2.90,3.70,5.00,5.00,5.00,0.0,5.0,5.00,4.52,4.69,3.53,3.5,4.38083538083538,5.092781172210907,1.36,3.25,3.09,2025,2.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,2025,1,7,#0093CC,Alpine,32_Alpine,AUS,Австралия,4.21,2.63,1.67,0.00,0.00,10.0,0.0,1.67,3.90,4.66,3.38,6.003584229390682,2.494255744255744,5.50388580558973,3.04,8.00,4.58,2025,6.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,2025,2,7,#0093CC,Alpine,32_Alpine,AUS,Австралия,3.77,2.99,2.50,2.50,2.50,5.0,2.5,2.50,4.05,4.67,3.46,4.75179211469534,3.437545562545562,5.36685092779679,2.48,6.42,4.08,2025,8.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,Все сезоны,1,7,#0093CC,Все сезоны,32_Alpine,AUS,Австралия,2.90,1.82,0.83,0.00,0.00,5.0,0.0,0.83,2.53,3.38,2.73,5.3839349718381975,2.6756993006993004,4.536281798815404,2.02,7.33,3.46,Все сезоны,8.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,Все сезоны,2,7,#0093CC,Все сезоны,32_Alpine,AUS,Австралия,2.68,1.99,1.25,1.25,1.25,2.5,1.25,1.25,2.61,3.39,2.77,4.758038914490527,3.1473442098442095,4.467764359918934,1.74,6.54,3.21,Все сезоны,8.0,Pierre Gasly,GAS
32,Jack Doohan,Doohan,Все сезоны,0,7,#0093CC,Все сезоны,32_Alpine,AUS,Австралия,2.90,3.70,5.00,5.00,5.00,0.0,5.0,5.00,4.52,4.69,3.53,3.5,4.38083538083538,5.092781172210907,1.36,3.25,3.09,Все сезоны,8.0,Pierre Gasly,GAS
