SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,6_Laptime,8_Laptime,6_PaceDiff,8_PaceDiff,6_PaceDiffClear,8_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2023,2023011,1.0,1,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,2.0,2,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,3.0,3,Ferrari,98.658,99.042,-1.179,-0.795,-1.179,-0.795,99.837,0.384,6.0,0.384,6,-0.987,-0.9870000000000001,-0.987,-0.9870000000000001
1,2023,2023011,4.0,4,Ferrari,98.825,98.985,-0.996,-0.836,-0.996,-0.836,99.945,0.160,6.0,0.160,6,-0.916,-0.9159999999999999,-0.916,-0.9159999999999999
1,2023,2023011,5.0,5,Ferrari,98.664,99.128,-1.322,-0.858,-1.322,-0.858,100.1,0.464,6.0,0.464,6,-1.090,-1.09,-1.090,-1.09
1,2023,2023011,6.0,6,Ferrari,98.572,99.474,-1.614,-0.712,-1.614,-0.712,100.192,0.902,6.0,0.902,6,-1.163,-1.163,-1.163,-1.163
1,2023,2023011,7.0,7,Ferrari,98.691,99.502,-1.583,-0.772,-1.583,-0.772,100.306,0.811,6.0,0.811,6,-1.177,-1.1775,-1.177,-1.1775
1,2023,2023011,8.0,8,Ferrari,98.614,99.779,-1.761,-0.596,-1.761,-0.596,100.395,1.165,6.0,1.165,6,-1.178,-1.1784999999999999,-1.178,-1.1784999999999999
1,2023,2023011,9.0,9,Ferrari,98.828,99.744,-1.649,-0.733,-1.649,-0.733,100.486,0.916,6.0,0.916,6,-1.191,-1.191,-1.191,-1.191
1,2023,2023011,10.0,10,Ferrari,99.073,100.102,-1.55,-0.521,-1.55,-0.521,100.623,1.029,6.0,1.029,6,-1.036,-1.0355,-1.036,-1.0355
1,2023,2023011,11.0,11,Ferrari,99.212,100.507,-1.295,0.0,-1.295,0.0,100.585,1.295,6.0,1.295,6,-0.647,-0.6475,-0.647,-0.6475
1,2023,2023011,12.0,12,Ferrari,99.489,100.52,-0.575,0.456,-0.575,0.456,100.064,1.031,6.0,1.031,6,-0.059,-0.05949999999999997,-0.059,-0.05949999999999997
1,2023,2023011,13.0,13,Ferrari,,,,,,,99.523,-,-,-,,-,-0.17966666666666664,-,-0.17966666666666664
1,2023,2023011,14.0,14,Ferrari,,,,,,,99.019,-,-,-,,-,-0.29983333333333334,-,-0.29983333333333334
1,2023,2023011,15.0,15,Ferrari,98.477,97.985,-0.174,-0.666,-0.174,-0.666,98.714,-0.492,8.0,-0.492,8,-0.420,-0.42000000000000004,-0.420,-0.42000000000000004
1,2023,2023011,16.0,16,Ferrari,97.953,98.433,-0.626,-0.145,-0.626,-0.505,98.613,0.481,6.0,0.121,6,-0.386,-0.3855,-0.566,-0.5655
1,2023,2023011,17.0,17,Ferrari,98.031,98.161,-0.613,-0.483,-0.613,-0.483,98.704,0.130,6.0,0.130,6,-0.548,-0.548,-0.548,-0.548
1,2023,2023011,18.0,18,Ferrari,97.798,98.287,-0.936,-0.447,-0.936,-0.447,98.794,0.489,6.0,0.489,6,-0.692,-0.6915,-0.692,-0.6915
1,2023,2023011,19.0,19,Ferrari,97.858,98.21,-0.787,-0.435,-0.787,-0.435,98.679,0.352,6.0,0.352,6,-0.611,-0.611,-0.611,-0.611
1,2023,2023011,20.0,20,Ferrari,97.631,98.096,-1.01,-0.545,-1.01,-0.545,98.706,0.465,6.0,0.465,6,-0.778,-0.7775000000000001,-0.778,-0.7775000000000001
1,2023,2023011,21.0,21,Ferrari,97.753,98.24,-0.951,-0.464,-0.951,-0.464,98.735,0.487,6.0,0.487,6,-0.708,-0.7075,-0.708,-0.7075
1,2023,2023011,22.0,22,Ferrari,98.162,98.453,-0.594,-0.303,-0.853,-0.303,98.826,0.291,6.0,0.550,6,-0.449,-0.4485,-0.578,-0.578
1,2023,2023011,23.0,23,Ferrari,98.054,98.597,-0.76,-0.217,-0.76,-0.43,98.882,0.543,6.0,0.330,6,-0.488,-0.4885,-0.595,-0.595
1,2023,2023011,24.0,24,Ferrari,97.972,98.314,-0.917,-0.575,-0.917,-0.575,98.928,0.342,6.0,0.342,6,-0.746,-0.746,-0.746,-0.746
1,2023,2023011,25.0,25,Ferrari,98.541,98.571,-0.358,-0.328,-0.358,-0.576,99.036,0.030,6.0,-0.218,8,-0.343,-0.34299999999999997,-0.467,-0.46699999999999997
1,2023,2023011,26.0,26,Ferrari,99.668,98.331,0.906,-0.431,-0.085,-0.431,98.867,-1.337,8.0,-0.346,8,0.238,0.23750000000000002,-0.258,-0.258
1,2023,2023011,27.0,27,Ferrari,98.814,98.423,0.147,-0.244,0.147,-0.244,98.741,-0.391,8.0,-0.391,8,-0.049,-0.0485,-0.049,-0.0485
1,2023,2023011,28.0,28,Ferrari,98.618,98.474,0.214,0.07,0.214,0.07,98.415,-0.144,8.0,-0.144,8,0.142,0.14200000000000002,0.142,0.14200000000000002
1,2023,2023011,29.0,29,Ferrari,98.447,98.55,0.173,0.276,0.173,0.276,98.452,0.103,6.0,0.103,6,0.225,0.2245,0.225,0.2245
1,2023,2023011,30.0,30,Ferrari,98.39,98.601,0.224,0.435,0.224,0.435,98.191,0.211,6.0,0.211,6,0.330,0.3295,0.330,0.3295
1,2023,2023011,31.0,31,Ferrari,98.746,,0.587,,0.587,,98.211,-,-,-,,-,0.2686,-,0.2686
1,2023,2023011,32.0,32,Ferrari,98.948,,1.154,,1.154,,97.803,-,-,-,,-,0.20770000000000002,-,0.20770000000000002
1,2023,2023011,33.0,33,Ferrari,,97.548,,-0.102,,-0.102,97.686,-,-,-,,-,0.14680000000000004,-,0.14680000000000004
1,2023,2023011,34.0,34,Ferrari,,97.475,,-0.168,,-0.168,97.702,-,-,-,,-,,-,
1,2023,2023011,35.0,35,Ferrari,98.073,97.441,0.341,-0.291,0.341,-0.291,97.732,-0.632,8.0,-0.632,8,0.025,0.025000000000000022,0.025,0.025000000000000022
1,2023,2023011,36.0,36,Ferrari,97.313,97.706,-0.37,0.023,-0.37,-0.398,97.736,0.393,6.0,-0.028,8,-0.173,-0.1735,-0.384,-0.384
1,2023,2023011,37.0,37,Ferrari,97.17,97.13,-0.467,-0.507,-0.467,-0.507,97.687,-0.040,8.0,-0.040,8,-0.487,-0.487,-0.487,-0.487
1,2023,2023011,38.0,38,Ferrari,97.17,97.444,-0.454,-0.18,-0.454,-0.358,97.683,0.274,6.0,0.096,6,-0.317,-0.317,-0.406,-0.406
1,2023,2023011,39.0,39,Ferrari,97.287,97.403,-0.494,-0.378,-0.494,-0.378,97.781,0.116,6.0,0.116,6,-0.436,-0.436,-0.436,-0.436
1,2023,2023011,40.0,40,Ferrari,,97.587,,0.318,,0.318,97.269,-,-,-,,-,,-,
1,2023,2023011,41.0,41,Ferrari,,,,,,,96.705,-,-,-,,-,,-,
1,2023,2023011,42.0,42,Ferrari,,97.375,,0.22,,0.22,97.155,-,-,-,,-,,-,
1,2023,2023011,43.0,43,Ferrari,,97.294,,0.114,,0.114,97.246,-,-,-,,-,,-,
1,2023,2023011,44.0,44,Ferrari,,97.389,,0.143,,0.143,97.26,-,-,-,,-,,-,
1,2023,2023011,45.0,45,Ferrari,,99.561,,2.234,,0.289,97.541,-,-,-,,-,,-,
1,2023,2023011,46.0,46,Ferrari,,97.844,,0.376,,0.376,97.728,-,-,-,,-,,-,
1,2023,2023011,47.0,47,Ferrari,,98.222,,0.769,,0.417,97.587,-,-,-,,-,,-,
1,2023,2023011,48.0,48,Ferrari,,97.897,,0.443,,0.443,97.554,-,-,-,,-,,-,
1,2023,2023011,49.0,49,Ferrari,,97.765,,0.138,,0.138,97.662,-,-,-,,-,,-,
1,2023,2023011,50.0,50,Ferrari,,97.604,,0.201,,0.201,97.537,-,-,-,,-,,-,
1,2023,2023011,51.0,51,Ferrari,,97.672,,0.074,,0.074,97.685,-,-,-,,-,,-,
1,2023,2023011,52.0,52,Ferrari,,97.49,,-0.16,,-0.16,97.663,-,-,-,,-,,-,
1,2023,2023011,53.0,53,Ferrari,,97.66,,-0.023,,-0.023,97.729,-,-,-,,-,,-,
1,2023,2023011,54.0,54,Ferrari,,97.694,,-0.094,,-0.094,97.884,-,-,-,,-,,-,
1,2023,2023011,55.0,55,Ferrari,,97.821,,-0.052,,-0.052,97.873,-,-,-,,-,,-,
1,2023,2023011,56.0,56,Ferrari,,98.126,,0.329,,0.124,97.891,-,-,-,,-,,-,
1,2023,2023011,57.0,57,Ferrari,,98.021,,0.264,,0.264,97.757,-,-,-,,-,,-,
1,2023,2023021,1.0,58,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2023,2023021,2.0,59,Ferrari,,,,,,,,-,-,-,,-,,-,
